12 Jul 2010 12:34:52|111.222.123.210|10983|mrsmith@gmail.com|Order Placed|12-3456|5|56.00
12 Jul 2010 12:44:23|111.222.123.210|10983|mrsmith@gmail.com|Order Received|12-3456|5|56.00
12 Jul 2010 13:22:36|221.112.133.233|11634|shopper54321@hotmail.com|Order Placed|12-73946|25|295.32
12 Jul 2010 14:21:15|111.222.123.210|10983|mrsmith@gmail.com|Order Processing|12-3456|5|56.00
12 Jul 2010 14:54:33|221.112.133.233|11634|shopper54321@hotmail.com|Order Received|12-73946|25|295.32
13 Jul 2010 07:52:16|221.112.133.233|11634|shopper54321@hotmail.com|Order Processing|12-73946|25|295.32
13 Jul 2010 09:53:35|111.222.123.210|10983|mrsmith@gmail.com|Order Processed|12-3456|5|56.00
13 Jul 2010 10:29:41|221.112.133.233|11634|shopper54321@hotmail.com|Order Processed|12-73946|25|295.32
13 Jul 2010 11:10:18|111.222.123.210|10983|mrsmith@gmail.com|Order Shipped|12-3456|5|56.00
13 Jul 2010 11:10:18|221.112.133.233|11634|shopper54321@hotmail.com|Order Shipped|12-73946|25|295.32
